id_venda,id_pedido,data_venda,id_produto,id_canal,id_regiao,quantidade,preco_unitario,custo_unitario,desconto_percentual,receita_bruta,valor_desconto,receita_liquida,custo_total,margem_bruta,margem_percentual
1945,101296,2024-01-01,4,3,4,1,88.1,30.53,0.05,88.1,4.4,83.7,30.53,53.17,0.6352
3025,102018,2024-01-01,8,2,4,1,52.26,18.81,0.0,52.26,0.0,52.26,18.81,33.45,0.6401
3947,102620,2024-01-01,5,1,4,1,94.48,38.88,0.05,94.48,4.72,89.76,38.88,50.88,0.5668
3948,102620,2024-01-01,7,1,4,1,51.25,17.09,0.1,51.25,5.12,46.13,17.09,29.04,0.6295
5646,103748,2024-01-01,13,2,4,3,56.51,18.69,0.05,169.53,8.48,161.05,56.07,104.98,0.6518
6787,104508,2024-01-01,2,5,3,2,112.25,42.3,0.15,224.5,33.67,190.83,84.6,106.23,0.5567
7029,104671,2024-01-01,3,4,2,1,51.52,18.9,0.0,51.52,0.0,51.52,18.9,32.62,0.6332
7626,105055,2024-01-01,5,1,4,1,97.76,36.97,0.05,97.76,4.89,92.87,36.97,55.9,0.6019
8314,105510,2024-01-01,13,4,5,1,58.59,18.62,0.0,58.59,0.0,58.59,18.62,39.97,0.6822
9140,106048,2024-01-01,12,3,3,1,80.8,27.04,0.0,80.8,0.0,80.8,27.04,53.76,0.6653
11377,107534,2024-01-01,15,1,5,1,62.29,21.14,0.05,62.29,3.11,59.18,21.14,38.04,0.6428
11378,107534,2024-01-01,7,1,5,1,50.65,17.29,0.15,50.65,7.6,43.05,17.29,25.76,0.5984
11825,107832,2024-01-01,3,1,2,1,52.52,18.13,0.0,52.52,0.0,52.52,18.13,34.39,0.6548
11826,107832,2024-01-01,6,1,2,1,82.16,30.8,0.15,82.16,12.32,69.84,30.8,39.04,0.559
13829,109133,2024-01-01,2,2,1,2,120.58,40.8,0.05,241.16,12.06,229.1,81.6,147.5,0.6438
14346,109464,2024-01-01,2,3,3,3,120.27,41.6,0.0,360.81,0.0,360.81,124.8,236.01,0.6541
16348,110788,2024-01-01,2,1,5,1,113.19,42.38,0.1,113.19,11.32,101.87,42.38,59.49,0.584
