id_orcamento,mes_referencia,id_produto,id_canal,id_regiao,quantidade_orcada,receita_orcada,custo_orcado,margem_orcada
1,2024-01-01,1,1,1,2,133.05,48.49,84.56
2,2024-01-01,1,1,2,3,193.82,70.3,123.52
3,2024-01-01,1,1,3,2,110.37,42.12,68.25
4,2024-01-01,1,1,4,8,496.08,186.63,309.45
5,2024-01-01,1,1,5,1,57.12,22.09,35.03
6,2024-01-01,1,2,1,2,138.51,50.54,87.97
7,2024-01-01,1,2,3,1,60.86,23.99,36.87
8,2024-01-01,1,2,4,5,285.43,109.2,176.23
9,2024-01-01,1,2,5,6,396.06,141.33,254.73
10,2024-01-01,1,3,1,1,72.85,26.68,46.17
11,2024-01-01,1,3,3,1,68.4,25.87,42.53
12,2024-01-01,1,3,5,2,129.59,48.29,81.3
13,2024-01-01,1,4,2,2,137.54,53.72,83.82
14,2024-01-01,1,4,3,2,134.19,50.45,83.74
15,2024-01-01,1,4,4,1,63.03,24.01,39.02
16,2024-01-01,1,4,5,3,221.98,76.87,145.11
17,2024-01-01,1,5,2,1,58.54,23.8,34.74
18,2024-01-01,1,5,4,7,461.43,186.0,275.43
19,2024-01-01,1,5,5,1,56.82,21.73,35.09
20,2024-01-01,2,1,2,1,99.54,40.23,59.31
21,2024-01-01,2,1,3,2,177.71,74.08,103.63
22,2024-01-01,2,1,4,5,543.84,208.96,334.88
23,2024-01-01,2,1,5,1,87.5,36.46,51.04
24,2024-01-01,2,2,1,3,363.44,127.28,236.16
25,2024-01-01,2,2,2,4,456.66,164.82,291.84
26,2024-01-01,2,2,3,2,236.65,80.72,155.93
27,2024-01-01,2,2,4,8,955.57,344.57,611.0
28,2024-01-01,2,2,5,2,205.55,79.74,125.81
29,2024-01-01,2,3,2,1,113.52,45.82,67.7
30,2024-01-01,2,3,3,6,705.28,252.97,452.31
31,2024-01-01,2,3,4,2,210.74,79.42,131.32
32,2024-01-01,2,3,5,1,110.23,39.45,70.78
33,2024-01-01,2,4,1,1,133.19,47.45,85.74
34,2024-01-01,2,4,2,2,271.46,91.94,179.52
35,2024-01-01,2,4,3,2,241.13,85.35,155.78
36,2024-01-01,2,4,4,6,715.19,253.65,461.54
37,2024-01-01,2,4,5,2,243.06,87.74,155.32
38,2024-01-01,2,5,3,2,182.1,79.44,102.66
39,2024-01-01,2,5,4,1,100.21,39.68,60.53
40,2024-01-01,2,5,5,4,369.71,154.63,215.08
41,2024-01-01,3,1,2,5,230.47,89.12,141.35
42,2024-01-01,3,1,3,3,135.58,49.37,86.21
43,2024-01-01,3,1,4,5,238.23,91.61,146.62
44,2024-01-01,3,1,5,1,41.73,16.59,25.14
