id_venda,id_pedido,data_venda,id_produto,id_canal,id_regiao,quantidade,preco_unitario,custo_unitario,desconto_percentual
19101,112612,2025-10-07,6,4,5,1,78.87,32.52,0.0
3278,102189,2025-09-01,11,1,4,2,46.34,13.27,0.05
16739,111038,2026-02-16,8,5,4,1,53.47,19.75,0.1
21813,114405,2025-05-06,9,1,4,2,76.77,27.96,0.15
1384,100917,2024-11-08,14,1,4,2,29.69,9.77,0.05
6809,104521,2025-11-03,8,5,5,2,51.62,20.15,0.15
5618,103727,2024-04-22,9,5,5,1,77.79,26.84,0.1
8705,105766,2025-08-10,1,5,4,3,66.31,26.96,0.15
21126,113939,2025-12-26,13,1,4,1,55.81,20.52,0.15
20486,113512,2025-09-17,1,2,4,1,71.6,25.72,0.1
4385,102902,2026-01-22,1,4,2,1,70.68,27.5,0.05
12012,107961,2024-08-04,7,2,4,1,49.91,17.44,0.1
18316,112080,2025-11-07,5,5,4,2,101.01,42.48,0.2
20045,113220,2026-03-09,13,1,4,1,62.24,20.52,0.1
1863,101243,2026-02-28,4,1,4,1,92.32,33.89,0.15
10342,106855,2026-01-18,4,5,4,1,90.38,34.8,0.1
18886,112464,2025-05-16,14,1,4,2,29.1,10.01,0.1
6101,104053,2025-02-20,11,1,2,1,43.64,13.14,0.15
21831,114418,2026-01-20,10,5,3,1,61.54,24.26,0.05
2271,101519,2026-01-18,5,2,4,1,98.41,41.41,0.0
7932,105252,2025-01-15,9,3,2,2,73.02,28.94,0.0
8417,105582,2026-06-30,4,2,2,1,83.95,33.91,0.05
10135,106727,2024-06-24,12,5,3,1,85.91,26.8,0.05
4373,102894,2025-11-03,11,1,5,1,45.24,13.81,0.15
6782,104504,2025-05-01,15,4,1,1,57.66,22.93,0.0
10031,106657,2025-07-06,4,2,4,1,89.84,33.47,0.1
14019,109255,2026-02-20,5,5,4,1,97.22,41.69,0.15
564,100367,2025-12-17,14,1,2,2,30.92,10.47,0.0
641,100421,2026-08-13,14,3,4,1,30.71,10.51,0.1
8952,105938,2025-01-30,15,1,3,1,59.33,22.65,0.1
3690,102463,2026-02-07,11,5,4,1,43.27,13.62,0.05
5479,103638,2026-04-22,2,2,5,1,114.38,46.56,0.1
9978,106618,2024-06-26,1,1,5,4,70.55,24.45,0.05
10024,106651,2025-03-03,14,5,1,1,28.52,10.2,0.2
12028,107971,2026-03-08,12,1,4,3,86.37,28.63,0.15
13247,108763,2025-03-03,1,3,3,2,67.72,26.57,0.1
20812,113732,2026-06-14,1,2,4,1,71.91,26.82,0.05
14111,109310,2026-04-24,15,2,3,1,56.69,23.64,0.1
697,100460,2026-06-15,6,1,1,1,77.41,33.71,0.05
4157,102754,2026-04-30,14,1,2,1,27.89,10.37,0.05
16125,110630,2025-09-01,12,4,4,2,82.95,28.96,0.05
16811,111083,2025-11-18,9,3,4,1,77.59,29.58,0.1
21114,113931,2024-03-30,14,1,3,1,30.97,9.33,0.15
17325,111422,2025-07-17,11,3,4,1,42.39,13.21,0.1
15703,110358,2025-07-08,15,2,4,1,61.66,22.55,0.0
